rank,rubber,speed,spin,control,tacky,weight,sponge_hardness,gears,throw_angle,consistency,durable,overall,ratings,price
98.,Tibhar Grip-S Europe,8.6,9.3,8.9,5.9,6.3,7.3,8.5,7.6,10.0,8.3,9.2,35,$ 45.00
99.,DHS Gold Arc 8,9.4,9.3,9.1,2.0,5.9,6.7,8.7,5.7,9.4,8.3,9.4,145,$ 67.00
100.,Globe 999 National,7.8,9.2,9.0,6.2,6.3,6.4,8.3,5.3,9.3,8.3,9.3,34,$ 15.00
101.,Friendship/729 Bloom Power,8.7,9.0,8.7,8.2,6.8,8.2,8.0,3.8,7.8,8.3,8.9,26,$ 15.00
102.,Palio CJ8000 Extreme Spin,8.3,9.0,8.9,6.4,4.2,4.8,6.3,4.9,8.6,8.3,8.8,13,$ 16.00
103.,Palio Aeolus,9.3,9.2,9.4,4.4,5.3,6.8,9.3,5.8,9.4,8.3,9.4,10,$ 53.00
104.,Xiom Musa,7.3,8.2,8.6,2.0,3.6,4.2,5.7,4.1,9.2,8.3,8.4,21,$ 30.00
105.,Palio HK1997 Biotech,8.3,8.7,8.9,2.1,4.4,4.5,7.0,4.5,7.3,8.3,8.9,19,$ 27.00
106.,Tibhar Genius,8.9,9.3,8.9,2.8,5.3,5.6,7.9,5.9,9.4,8.3,9.3,55,$ 47.00
107.,Gewo NanoFLEX FT40,8.6,9.4,9.4,1.1,3.9,3.2,7.9,7.5,10.0,8.3,9.4,23,$ 60.00
108.,Tibhar 1Q,8.7,8.9,8.7,3.2,4.6,6.6,7.5,6.0,9.2,8.3,9.2,56,$ 40.00
109.,Yasaka Rakza Z,8.7,9.5,9.2,6.6,6.7,7.7,8.7,6.5,9.4,8.3,9.4,70,$ 43.00
110.,Tibhar Nianmor,9.3,9.2,8.1,2.8,5.0,7.3,9.0,5.2,8.6,8.3,9.4,47,$ 80.00
111.,Andro Hexer Powergrip SFX,8.7,9.0,9.1,1.6,3.8,3.7,8.4,5.4,9.6,8.2,9.3,32,$ 48.00
112.,Yinhe Venus 2,8.5,8.8,8.6,7.5,5.8,6.8,7.5,4.2,7.7,8.2,9.3,23,$ 27.00
113.,TSP Regalis Blue,9.3,9.5,9.4,2.1,4.3,5.6,9.3,5.5,9.3,8.2,9.3,20,$ 42.00
114.,TSP Ventus Spin,8.8,9.4,9.3,1.4,2.8,3.2,8.3,6.2,9.7,8.2,9.4,53,$ 48.00
115.,Reactor Tornado V5,8.1,8.7,8.7,4.4,5.1,6.6,7.0,5.3,8.8,8.2,8.6,28,$ 6.00
116.,Butterfly Tenergy 25,9.2,9.1,8.8,2.5,6.8,6.7,8.6,4.3,10.0,8.2,9.3,75,$ 80.00
117.,Dawei 2008 XP (Super Power),8.0,8.1,8.3,4.3,6.8,6.9,5.9,4.5,7.4,8.2,8.2,37,$ 9.00
118.,Xiom Omega VII Asia,9.1,9.3,8.5,2.1,6.1,7.9,8.5,4.1,9.7,8.2,9.0,18,$ 63.00
119.,Gewo Nexxus XT Pro 48,9.4,9.4,9.3,1.5,6.1,7.2,7.7,4.5,8.5,8.2,9.3,18,$ 55.00
120.,Butterfly Tackifire C Soft,7.4,9.1,8.8,7.1,4.0,2.0,7.0,4.0,9.0,8.2,9.0,14,$ 52.00
121.,Gewo Nexxus EL Pro 50 Hard,9.3,9.2,9.2,0.3,5.8,7.6,8.3,4.0,9.1,8.2,9.2,13,$ 49.00
122.,Yinhe Apollo 5,9.0,9.4,9.2,5.3,6.1,7.6,8.6,5.3,9.0,8.2,9.3,26,$ 20.00
123.,Gewo Flexxon,9.2,9.4,9.2,2.5,4.8,6.8,8.2,4.3,9.4,8.2,9.4,25,$ 58.00
124.,Andro Rasanter V42,9.1,9.1,9.2,1.9,4.4,4.2,8.1,4.4,9.7,8.2,9.2,21,$ 50.00
